"RefDes","Name","Value","Quantity","Pattern"
"C1","CAP_0805","4.7uF","1","CAP_0805"
"C3","CAP_0603","27pF","1","CAP_0603"
"C4, C7, C8, C41, C42","CAP_0603","100nF","5","CAP_0603"
"C5, C6","CAP_0603","12pF","2","CAP_0603"
"C9, C40","CAP_0603","10nF","2","CAP_0603"
"C10","CAP_0603","1uF","1","CAP_0603"
"C11, C12, C13","CAP_0603","4.7uF","3","CAP_0603"
"C14, C15, C16","CAP_0603","10uF","3","CAP_0603"
"D1","LEDCHIP-LED0603","PWR","1","CHIP-LED0603"
"D2","LEDCHIP-LED0603","TX","1","CHIP-LED0603"
"D3","LEDCHIP-LED0603","RX","1","CHIP-LED0603"
"D4","LEDCHIP-LED0603","SFD","1","CHIP-LED0603"
"D5","LEDCHIP-LED0603","RXOK","1","CHIP-LED0603"
"D7","LEDCHIP-LED0603","LED2","1","CHIP-LED0603"
"D9, D10","1PS76SB10","","2","SOD-323"
"J1","ZX62-B-5P","","1","ZX62R-B-5P"
"J2","CrazyFlie_EXP_HEADER","Left","1","CrazyFlieHeader"
"J3","CrazyFlie_EXP_HEADER","Right","1","CrazyFlieHeader"
"L1","SRN3015-220M","22uH","1","3.0mm x 3.0mm"
"R3","RES_0603","12k4","1","RES_0603"
"R4","RES_0603","91k","1","RES_0603"
"R5, R6","RES_0603","100k","2","RES_0603"
"R7, R9","RES_0603","22R","2","RES_0603"
"R8","RES_0603","10k","1","RES_0603"
"R10, R11, R12, R13, R14, R16","RES_0603","","6","RES_0603"
"R19","RES_0603","1k5","1","RES_0603"
"R20, R21","RES_0603","2.2k","2","RES_0603"
"S1","MC32882","RESET","1","KMR221G LFS"
"S2","MC32882","USER","1","KMR221G LFS"
"U1","DWM1000","","1","DWM1000"
"U2","STM32F302CCT6","","1","LQFP48/7x7"
"U4","ISL85410","","1","L12.4x3"
"U5","DS28E05","","1","SOT23"
"U9","MPU9250","","1","QFN-24/3x3x1"
"Y1","CFPX-5","","1","CFPX-5"
